Date,Direction,Coin,Futures,Transaction amount,Average Price,Trading volume,Realized P/L,NetProfits,Fee
2025-12-08 21:07:30,Close long,USDT,BTCUSDT,0.0001,90419.4,9.04194,0.03093,0.025504836,-0.005425164
2025-12-08 16:14:02,Open long,USDT,BTCUSDT,0.0001,90110.1,9.01101,0,0,-0.001802202
2025-12-07 23:34:10,Close long,USDT,BTCUSDT,0.0001,90002.8,9.00028,0.10259,0.097189832,-0.005400168
2025-12-07 23:07:17,Open long,USDT,BTCUSDT,0.0001,88976.9,8.89769,0,0,-0.001779538
2025-12-07 23:07:00,Close long,USDT,SOLUSDT,0.2,130.333,26.0666,-0.172,-0.18763996,-0.01563996
2025-12-07 23:05:38,Open long,USDT,SOLUSDT,0.2,131.193,26.2386,0,0,-0.00524772
2025-12-07 19:18:23,Close short,USDT,BTCUSDT,0.0001,91568.2,9.15682,-0.08807,-0.093564092,-0.005494092
2025-12-07 18:35:04,Close short,USDT,SOLUSDT,0.1,135.157,13.5157,-0.0838,-0.09190942,-0.00810942
2025-12-07 18:35:04,Close short,USDT,SOLUSDT,0.1,135.157,13.5157,-0.0838,-0.09190942,-0.00810942
2025-12-07 18:30:03,Open short,USDT,SOLUSDT,0.2,134.319,26.8638,0,0,-0.00537276
2025-12-07 18:28:40,Open short,USDT,BTCUSDT,0.0001,90687.5,9.06875,0,0,-0.00181375
2025-12-07 17:31:23,Close short,USDT,SOLUSDT,0.2,130.592,26.1184,0.2698,0.25412896,-0.01567104
2025-12-07 16:57:26,Open short,USDT,SOLUSDT,0.2,131.941,26.3882,0,0,-0.00527764
2025-12-07 16:09:52,Close long,USDT,BTCUSDT,0.0001,88940.1,8.89401,0.12373,0.118393594,-0.005336406
2025-12-07 15:33:36,Open long,USDT,BTCUSDT,0.0001,87702.8,8.77028,0,0,-0.001754056
2025-12-07 15:25:39,Close long,USDT,SOLUSDT,0.2,128.174,25.6348,-0.1596,-0.17498088,-0.01538088
2025-12-07 15:25:17,Close long,USDT,ADAUSDT,73,0.4066,29.6818,-0.2263,-0.24410908,-0.01780908
2025-12-07 15:24:53,Open long,USDT,SOLUSDT,0.2,128.972,25.7944,0,0,-0.00515888
2025-12-05 17:49:15,Open long,USDT,ADAUSDT,73,0.4097,29.9081,0,0,-0.01794486
2025-12-05 17:42:21,Close long,USDT,ADAUSDT,73,0.4091,29.8643,-0.2336,-0.25151858,-0.01791858
2025-12-05 17:40:51,Open long,USDT,ADAUSDT,73,0.4123,30.0979,0,0,-0.01805874
2025-12-05 17:07:45,Close long,USDT,BTCUSDT,0.0001,89463.9,8.94639,-0.09007,-0.095437834,-0.005367834
2025-12-05 16:56:40,Open long,USDT,BTCUSDT,0.0001,90364.6,9.03646,0,0,-0.001807292
2025-12-05 16:05:32,Close long,USDT,BTCUSDT,0.0001,91325,9.1325,0.1014,0.0959205,-0.0054795
2025-12-05 14:43:00,Open long,USDT,BTCUSDT,0.0001,90311,9.0311,0,0,-0.00180622
2025-12-05 06:24:21,Close short,USDT,ADAUSDT,63,0.4365,27.4995,1.1403,1.1238003,-0.0164997
